Region,Source,ZoneSubzone,SS_NoSpace,SiteSeriesName,Standard,StockingTarget,StockingMINpa,StockingMINp,StockingDelay,AssessmentEarliest,AssessmentLatest
Vancouver,Vancouver,CWHwh1,CWHwh1/06,CwSs - Conocephalum,84154,800,400,400,3,8,11
Vancouver,Vancouver,CWHwh1,CWHwh1/10,CwYc - Goldthread,84157,800,400,400,3,8,11
Vancouver,Vancouver,CWHwh1,CWHwh1/12,CwSs - Skunk cabbage,84159,800,400,400,3,8,11
Vancouver,Vancouver,CWHwh1,CWHwh1/01,HwSs - Lanky moss,84149,900,500,400,6,11,14
Vancouver,Vancouver,CWHwh1,CWHwh1/02,CwSs - Salal,84150,900,500,400,6,11,14
Vancouver,Vancouver,CWHwh1,CWHwh1/03,CwSs - Sword fern,84151,900,500,400,3,8,11
Vancouver,Vancouver,CWHwh1,CWHwh1/04,CwHw - Salal,84152,900,500,400,6,11,14
Vancouver,Vancouver,CWHwh1,CWHwh1/05,CwSs - Foamflower,84153,900,500,400,3,8,11
Vancouver,Vancouver,CWHwh1,CWHwh1/07,Ss - Lily-of-the-valley,84155,900,500,400,3,8,11
Vancouver,Vancouver,CWHwh1,CWHwh1/08,Ss - Trisetum,84156,900,500,400,3,8,11
Vancouver,Vancouver,CWHwh1,CWHwh1/14,Ss - Kindbergia,84161,900,500,400,3,8,11
Vancouver,Vancouver,CWHwh1,CWHwh1/16,Ss - Sword fern,84163,900,500,400,3,8,11
Vancouver,Vancouver,CWHwh2,CWHwh2/05,CwYc - Goldthread,84170,400,200,200,6,11,14
Vancouver,Vancouver,CWHwh2,CWHwh2/04,CwSs - Conocephalum,84169,800,400,400,3,8,11
Vancouver,Vancouver,CWHwh2,CWHwh2/06,CwSs - Skunk cabbage,84171,800,400,400,3,8,11
Vancouver,Vancouver,CWHwh2,CWHwh2/01,HwSs - Lanky moss,84166,900,500,400,6,11,14
Vancouver,Vancouver,CWHwh2,CWHwh2/02,CwHw - Salal,84167,900,500,400,6,11,14
Vancouver,Vancouver,CWHwh2,CWHwh2/03,CwSs - Foamflower,84168,900,500,400,3,8,11
Vancouver,Vancouver,CWHws2,CWHws2/10,Pl - Sphagnum,84180,400,200,200,3,8,11
Vancouver,Vancouver,CWHws2,CWHws2/02,Pl - Kinnikinnick,84173,600,400,400,6,11,14
Vancouver,Vancouver,CWHws2,CWHws2/03,HwPl - Feathermoss,84174,800,400,400,6,11,14
Vancouver,Vancouver,CWHws2,CWHws2/11,CwSs - Skunk cabbage,84181,800,400,400,3,8,11
Vancouver,Vancouver,CWHws2,CWHws2/01,HwBa - Bramble,84172,900,500,400,6,11,14
Vancouver,Vancouver,CWHws2,CWHws2/04,BaCw - Oak fern,84175,900,500,400,3,8,11
Vancouver,Vancouver,CWHws2,CWHws2/05,HwBa - Queen's cup,84176,900,500,400,6,11,14
Vancouver,Vancouver,CWHws2,CWHws2/06,BaCw - Devil's club,84177,900,500,400,3,8,11
Vancouver,Vancouver,CWHws2,CWHws2/07,Ss - Salmonberry,84178,900,500,400,3,8,11
Vancouver,Vancouver,CWHws2,CWHws2/08,Act - Red-osier dogwood,84179,900,500,400,3,8,11
Vancouver,Vancouver,CWHxm,CWHxm/02,FdPl - Cladina,84183,400,200,200,3,8,11
Vancouver,Vancouver,CWHxm,CWHxm/11,Pl - Sphagnum,84191,400,200,200,3,8,11
Vancouver,Vancouver,CWHxm,CWHxm/03,FdHw - Salal,84184,800,400,400,3,8,11
Vancouver,Vancouver,CWHxm,CWHxm/12,CwSs - Skunk cabbage,84192,800,400,400,3,8,11
Vancouver,Vancouver,CWHxm,CWHxm/15,Cw - Slough sedge,84195,800,400,400,3,8,11
Vancouver,Vancouver,CWHxm,CWHxm/01,HwFd - Kindbergia,84182,900,500,400,3,8,11
Vancouver,Vancouver,CWHxm,CWHxm/04,Fd - Sword fern,84185,900,500,400,3,8,11
Vancouver,Vancouver,CWHxm,CWHxm/05,Cw - Sword fern,84186,900,500,400,3,8,11
Vancouver,Vancouver,CWHxm,CWHxm/06,HwCw - Deer fern,84187,900,500,400,6,11,14
Vancouver,Vancouver,CWHxm,CWHxm/07,Cw - Foamflower,84188,900,500,400,3,8,11
Vancouver,Vancouver,CWHxm,CWHxm/08,Ss - Salmonberry,84189,900,500,400,3,8,11
Vancouver,Vancouver,CWHxm,CWHxm/09,Act - Red-osier dogwood,84190,900,500,400,3,8,11
Vancouver,Vancouver,CWHxm,CWHxm/13,Cw - Salmonberry,84193,900,500,400,3,8,11
Vancouver,Vancouver,CWHxm,CWHxm/14,Cw - Black twinberry,84194,900,500,400,3,8,11
Vancouver,Vancouver,ESSFmw,ESSFmw/02,BlPl - Juniper - Rhacomitrium,84197,1000,500,400,7,15,20
Vancouver,Vancouver,ESSFmw,ESSFmw/03,Fd - Falsebox - Pinegrass,84198,1000,500,400,7,15,20
Vancouver,Vancouver,ESSFmw,ESSFmw/07,BlBa - Oak fern - Lady fern,84202,1000,500,400,4,12,20
Vancouver,Vancouver,ESSFmw,ESSFmw/08,Bl - Gooseberry - Horsetail,84203,1000,500,400,4,12,20
Vancouver,Vancouver,ESSFmw,ESSFmw/01,BlBa - Rhododendron,84196,1200,700,600,4,12,20
Vancouver,Vancouver,ESSFmw,ESSFmw/04,Bl - Huckleberry - Falsebox,84199,1200,700,600,7,15,20
Vancouver,Vancouver,ESSFmw,ESSFmw/05,BlBa - Azalea - Pipecleaner moss,84200,1200,700,600,4,12,20
Vancouver,Vancouver,ESSFmw,ESSFmw/06,Bl - Gooseberry - Valerian,84201,1200,700,600,4,12,20
Vancouver,Vancouver,IDFww,IDFww/02,FdPl - Peltigera,84205,400,200,200,3,8,15
Vancouver,Vancouver,IDFww,IDFww/01,FdCw - Hazelnut,84204,600,400,400,4,9,15
Vancouver,Vancouver,IDFww,IDFww/03,Fd - Falsebox - Feathermoss,84206,600,400,400,3,8,15
Vancouver,Vancouver,IDFww,IDFww/04,Fd - Douglas maple - Fairybells,84207,600,400,400,4,9,15
Vancouver,Vancouver,IDFww,IDFww/05,CwFd - Vine maple,84208,1000,500,400,4,9,15
Vancouver,Vancouver,IDFww,IDFww/06,Cw - Devil's club - Lady fern,84209,1000,500,400,4,9,15
Vancouver,Vancouver,IDFww,IDFww/07,CwSx - Skunk cabbage,84210,1000,500,400,4,9,15
Vancouver,Vancouver,MHmm1,MHmm1/08,HmYc - Sphagnum,84218,400,200,200,4,12,20
Vancouver,Vancouver,MHmm1,MHmm1/02,HmBa - Mountain-heather,84212,800,400,400,4,12,20
Vancouver,Vancouver,MHmm1,MHmm1/06,HmYc - Deer-cabbage,84216,800,400,400,7,15,20
Vancouver,Vancouver,MHmm1,MHmm1/09,YcHm - Skunk cabbage,84219,800,400,400,4,12,20
Vancouver,Vancouver,MHmm1,MHmm1/01,HmBa - Blueberry,84211,900,500,400,7,15,20
Vancouver,Vancouver,MHmm1,MHmm1/03,BaHm - Oak fern,84213,900,500,400,4,12,20
Vancouver,Vancouver,MHmm1,MHmm1/04,HmBa - Bramble,84214,900,500,400,7,15,20
Vancouver,Vancouver,MHmm1,MHmm1/05,BaHm - Twistedstalk,84215,900,500,400,4,12,20
Vancouver,Vancouver,MHmm1,MHmm1/07,YcHm - Hellebore,84217,900,500,400,4,12,20
Vancouver,Vancouver,MHmm2,MHmm2/08,HmYc - Sphagnum,84227,400,200,200,4,12,20
Vancouver,Vancouver,MHmm2,MHmm2/02,HmBa - Mountain-heather,84221,440,400,400,4,12,20
Vancouver,Vancouver,MHmm2,MHmm2/06,HmYc - Deer-cabbage,84225,800,400,400,7,15,20
Vancouver,Vancouver,MHmm2,MHmm2/09,YcHm - Skunk cabbage,84228,800,400,400,4,12,20
Vancouver,Vancouver,MHmm2,MHmm2/01,HmBa - Blueberry,84220,900,500,400,7,15,20
Vancouver,Vancouver,MHmm2,MHmm2/03,BaHm - Oak fern,84222,900,500,400,4,12,20
Vancouver,Vancouver,MHmm2,MHmm2/04,HmBa - Bramble,84223,900,500,400,7,15,20
Vancouver,Vancouver,MHmm2,MHmm2/05,BaHm - Twistedstalk,84224,900,500,400,4,12,20
Vancouver,Vancouver,MHmm2,MHmm2/07,YcHm - Hellebore,84226,900,500,400,4,12,20
Vancouver,Vancouver,MHwh,MHwh/02,HmYc - Mountain-heather,84230,400,200,200,4,12,20
Vancouver,Vancouver,MHwh,MHwh/08,HmYc - Sphagnum,84236,400,200,200,4,12,20
Vancouver,Vancouver,MHwh,MHwh/06,HmYc - Deer cabbage,84234,800,400,400,7,15,20
Vancouver,Vancouver,MHwh,MHwh/09,YcHm - Skunk cabbage,84237,800,500,400,4,12,20
Vancouver,Vancouver,MHwh,MHwh/01,HmSs - Blueberry,84229,900,500,400,7,15,20
Vancouver,Vancouver,MHwh,MHwh/03,SsHm - Reedgrass,84231,900,500,400,7,15,20
Vancouver,Vancouver,MHwh,MHwh/04,HmYc - Goldthread,84232,900,500,400,7,15,20
Vancouver,Vancouver,MHwh,MHwh/05,YcHm - Twistedstalk,84233,900,500,400,4,12,20
Vancouver,Vancouver,MHwh,MHwh/07,YcHm - Hellebore,84235,900,500,400,4,12,20
